player_id,player_name,team_id,position,pool_start_prob,pool_start_prob_source,ev_start_prob,ev_start_prob_source,start_prob_diff,minute_share,suspected_issue,recommended_action
enzo_fern_ndez__arg,Enzo Fernandez,ARG,MID,0.9015,transfermarkt_availability_split_2026_06_04,0.9015,transfermarkt_availability_split_2026_06_01,0.0,0.081955,ok,No action.
jonathan_tah__ger,Jonathan Tah,GER,DEF,0.5671,transfermarkt_availability_split_2026_06_04,0.5671,transfermarkt_availability_split_2026_06_01,0.0,0.051555,ok,No action.
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,0.6026,transfermarkt_availability_split_2026_06_04,0.6026,transfermarkt_availability_split_2026_06_01,0.0,0.054782,ok,No action.
declan_rice__eng,Declan Rice,ENG,MID,0.8465,transfermarkt_availability_split_2026_06_04,0.8465,transfermarkt_availability_split_2026_06_01,0.0,0.076955,ok,No action.
bernardo_silva__por,Bernardo Silva,POR,MID,0.8322,transfermarkt_availability_split_2026_06_04,0.8322,transfermarkt_availability_split_2026_06_01,0.0,0.075655,ok,No action.
nicolas_jackson__sen,Nicolas Jackson,SEN,FWD,0.6272,transfermarkt_availability_split_2026_06_04,0.6272,transfermarkt_availability_split_2026_06_01,0.0,0.057018,ok,No action.
leroy_san__ger,Leroy Sane,GER,FWD,0.8215,transfermarkt_availability_split_2026_06_04,0.8215,transfermarkt_availability_split_2026_06_01,0.0,0.074682,ok,No action.
luka_modri__cro,Luka Modric,CRO,MID,0.9158,transfermarkt_availability_split_2026_06_04,0.9158,transfermarkt_availability_split_2026_06_01,0.0,0.083255,ok,No action.
manuel_neuer__ger,Manuel Neuer,GER,GK,0.7293,transfermarkt_availability_split_2026_06_04+gk_hierarchy_normalized,0.7293,transfermarkt_availability_split_2026_06_04+gk_hierarchy_normalized,0.0,0.0663,ok,No action.
roberto_alvarado__mex,Roberto Alvarado,MEX,MID,0.6394,transfermarkt_availability_split_2026_06_04,0.6394,transfermarkt_availability_split_2026_06_01,0.0,0.058127,ok,No action.
zeno_debast__bel,Zeno Debast,BEL,DEF,0.6566,transfermarkt_availability_split_2026_06_04,0.6566,transfermarkt_availability_split_2026_06_01,0.0,0.059691,ok,No action.
chris_richards__usa,Chris Richards,USA,DEF,0.6712,transfermarkt_availability_split_2026_06_04,0.6712,transfermarkt_availability_split_2026_06_01,0.0,0.061018,ok,No action.
alexis_vega__mex,Alexis Vega,MEX,FWD,0.6639,transfermarkt_availability_split_2026_06_04,0.6639,transfermarkt_availability_split_2026_06_01,0.0,0.060355,ok,No action.
john_yeboah__ecu,John Yeboah,ECU,MID,0.6657,transfermarkt_availability_split_2026_06_04,0.6657,transfermarkt_availability_split_2026_06_01,0.0,0.060518,ok,No action.
noussair_mazraoui__mar,Noussair Mazraoui,MAR,DEF,0.7704,transfermarkt_availability_split_2026_06_04,0.7704,transfermarkt_availability_split_2026_06_01,0.0,0.070036,ok,No action.
